ID,attribute_id,name,desc,alias,type,value,regex,status,title,maxlength,minlength,is_mandatory,createdAt,createdBy,modifiedAt,modifiedBy
1,ATT-101,Contract Title,Title or subject of the agreement,ContractTitle,Input,,.*,Active,Contract Title,200,1,true,2025-12-04,admin,2025-12-04,admin
2,ATT-102,Contract Number Reference ID,Unique identifier for the contract,ContractNumber,Input,,^[A-Za-z0-9/_-]+$,Active,Contract Number,100,1,true,2025-12-04,admin,2025-12-04,admin
3,ATT-103,Contract Type,Type of contract such as Agreement NDA MOU etc,ContractType,Input,,.*,Active,Contract Type,100,1,true,2025-12-04,admin,2025-12-04,admin
4,ATT-104,Related Master Agreement,Reference to framework or umbrella agreements,RelatedMasterAgreement,Input,,.*,Active,Related Master Agreement,200,0,false,2025-12-04,admin,2025-12-04,admin
5,ATT-105,Project Business Unit,Division or project linked to the contract,ProjectBusinessUnit,Input,,.*,Active,Project Business Unit,150,0,false,2025-12-04,admin,2025-12-04,admin

6,ATT-106,Contracting Entity,DHI legal entity executing the agreement,ContractingEntity,Input,,.*,Active,Contracting Entity,150,1,true,2025-12-04,admin,2025-12-04,admin
7,ATT-107,Counterparty Legal Names,Full legal names of all counterparties,CounterpartyLegalNames,MultiInput,,.*,Active,Counterparty Names,250,1,true,2025-12-04,admin,2025-12-04,admin
8,ATT-108,Counterparty Type,Company individual JV agency etc,CounterpartyType,Input,,.*,Active,Counterparty Type,50,1,true,2025-12-04,admin,2025-12-04,admin
9,ATT-109,Counterparty Registered Address,Registered address of counterparty,CounterpartyAddress,Input,,.*,Active,Counterparty Address,300,0,false,2025-12-04,admin,2025-12-04,admin
10,ATT-110,Country of Incorporation,Country where counterparty is incorporated,CountryOfIncorporation,Input,,^[A-Za-z ]+$,Active,Country of Incorporation,60,2,true,2025-12-04,admin,2025-12-04,admin
11,ATT-111,Counterparty Contact Person,Name designation email phone of contact,CounterpartyContact,Input,,.*,Active,Counterparty Contact Person,200,0,false,2025-12-04,admin,2025-12-04,admin

12,ATT-112,Effective Date,Date the contract becomes effective,EffectiveDate,DatePicker,,^\d{4}-\d{2}-\d{2}$,Active,Effective Date,10,10,true,2025-12-04,admin,2025-12-04,admin
